vehicle_edge,vehicle_longitude,vehicle_latitude,count
43273611#4,7.626168,44.995443,473
43273611#4,7.626756,44.994726,473
-49748518,7.560341,45.014589,472
-49748518,7.559365,45.014324,472
-49748518,7.55839,45.01406,472
37983081#4,7.639977,44.985303,464
37983081#4,7.642696,44.983542,464
37983081#4,7.641789,44.984129,464
37983081#4,7.650122,44.978988,464
37983081#4,7.640883,44.984716,464
37983081#4,7.652045,44.977907,464
37983081#4,7.644548,44.9824,464
37983081#4,7.654063,44.976918,464
37983081#4,7.639071,44.98589,464
37983081#4,7.649185,44.979549,464
37983081#4,7.643622,44.982971,464
37983081#4,7.645474,44.981828,464
37983081#4,7.646399,44.981257,464
37983081#4,7.655092,44.976444,464
37983081#4,7.65106,44.978426,464
37983081#4,7.648254,44.980117,464
37983081#4,7.653036,44.977394,464
37983081#4,7.647327,44.980687,464
122768202,7.584368,45.080075,459
122768202,7.585728,45.080104,459
122768202,7.583008,45.080047,459
122768202,7.587079,45.080178,459
37992354#0,7.700605,44.985623,456
37992354#0,7.701384,44.986056,456
67239390#4,7.770947,45.139582,444
-51444388,7.63799,45.149227,444
-51444388,7.641859,45.148663,444
-51444388,7.63928,45.149039,444
-51444388,7.6367,45.149414,444
-51444388,7.643145,45.148463,444
-51444388,7.640569,45.148851,444
37992352,7.697979,44.984901,443
37992352,7.69879,44.98351,443
37992352,7.697245,44.985442,443
37992352,7.698445,44.984226,443
38237305#1,7.597096,45.107062,437
38237305#1,7.596111,45.107718,437
38321071,7.553271,45.081692,435
23367047,7.73671,45.148819,435
37928261#1,7.554444,44.983102,432
37928261#1,7.554905,44.983885,432
37928261#1,7.552963,44.980792,432
37928261#1,7.553487,44.981546,432
37928261#1,7.553982,44.982318,432
51444648,7.62613,45.150962,428
51444648,7.633107,45.149937,428
51444648,7.630781,45.150278,428
51444648,7.631944,45.150108,428
51444648,7.624968,45.151133,428
51444648,7.629619,45.150449,428
51444648,7.628456,45.15062,428
51444648,7.627293,45.150791,428
38318591#1,7.746581,45.149177,426
38318591#1,7.74543,45.147542,426
38318591#1,7.747148,45.149998,426
38318591#1,7.746005,45.14836,426
38318591#1,7.747704,45.150822,426
494217365#0,7.515474,44.993147,424
133627094#3,7.758413,45.14066,421
133627094#3,7.759087,45.140064,421
38318591#5,7.750026,45.154257,416
38318591#5,7.749491,45.153467,416
38318591#5,7.751648,45.156624,416
38318591#5,7.751104,45.155836,416
38318591#5,7.752191,45.157411,416
38318591#5,7.750561,45.155048,416
23721624#2,7.603351,45.112675,414
23721624#2,7.601387,45.111661,414
23721624#2,7.599374,45.110698,414
23721624#2,7.602368,45.112169,414
23721624#2,7.600395,45.111164,414
37975287#2,7.554588,45.059403,409
37975287#2,7.55646,45.058589,409
37975287#2,7.557393,45.058177,409
37975287#2,7.555524,45.058995,409
37975287#2,7.559264,45.057364,409
37975287#2,7.558329,45.057771,409
23154530,7.703562,44.967773,408
23154530,7.704112,44.969164,408
23154530,7.705659,44.970199,408
23154530,7.704851,44.969712,408
23154530,7.703574,44.968523,408
23154530,7.706695,44.970322,408
23154530,7.703715,44.967023,408
151910039,7.58774,45.083845,403
151910039,7.587657,45.08145,403
151910039,7.587712,45.083047,403
151910039,7.587685,45.082248,403
83599780#0,7.607805,45.119002,402
83599780#0,7.604625,45.120509,402
83599780#0,7.603443,45.120865,402
83599780#0,7.606799,45.119567,402
83599780#0,7.605786,45.120124,402
83599780#0,7.608811,45.118436,402
30251045,7.677174,44.990611,400
30251045,7.676213,44.99104,400
30251045,7.673337,44.992333,400
30251045,7.679222,44.989912,400
30251045,7.67526,44.991479,400
30251045,7.678197,44.990261,400
30251045,7.674308,44.991918,400
79941734#2,7.568416,45.072472,399
15215737#1,7.693527,44.98983,397
15215737#1,7.696241,44.988212,397
15215737#1,7.698787,44.984462,397
15215737#1,7.695419,44.988818,397
15215737#1,7.694508,44.989355,397
15215737#1,7.692491,44.990242,397
15215737#1,7.696977,44.987553,397
15215737#1,7.69759,44.986832,397
15215737#1,7.699005,44.983634,397
15215737#1,7.69809,44.986068,397
15215737#1,7.698502,44.985279,397
133627094#0,7.760615,45.139775,395
133627094#0,7.761445,45.139729,395
39604703#0,7.613778,44.978392,391
39604703#0,7.614687,44.976758,391
39604703#0,7.615138,44.975941,391
39604703#0,7.614232,44.977575,391
39604703#0,7.613323,44.979208,391
81187712#0,7.657305,44.984011,389
81187712#0,7.653319,44.984545,389
81187712#0,7.654644,44.984352,389
81187712#0,7.655964,44.984139,389
-23721624#2,7.602343,45.112192,388
-23721624#2,7.600372,45.111188,388
-23721624#2,7.603325,45.112697,388
-23721624#2,7.604268,45.113238,388
-23721624#2,7.601363,45.111685,388
37756580,7.584122,45.072981,387
211478993#2,7.577872,45.072713,387
30250830#0,7.675917,44.975284,386
30250830#0,7.675033,44.975746,386
30250830#0,7.6741,44.976189,386
37992645,7.702731,44.988592,384
304450304#1,7.733193,45.143745,382
304450304#1,7.733897,45.144419,382
23721624#1,7.598324,45.110207,380
23721624#1,7.597429,45.109786,380
23721624#1,7.595681,45.1089,380
23721624#1,7.596555,45.109343,380
30250829#1,7.676894,44.974766,378
23066000,7.610543,45.117468,376
23066000,7.611611,45.116861,376
78667604#2,7.542488,44.976614,376
78667604#2,7.528951,44.975126,376
78667604#2,7.533873,44.975672,376
78667604#2,7.536336,44.975936,376
78667604#2,7.543703,44.976805,376
78667604#2,7.541264,44.976452,376
78667604#2,7.532642,44.975537,376
78667604#2,7.525259,44.974717,376
78667604#2,7.52772,44.974989,376
78667604#2,7.530181,44.975262,376
-213893799#1,7.582245,45.07613,376
78667604#2,7.52649,44.974853,376
78667604#2,7.5388,44.976194,376
78667604#2,7.537568,44.976065,376
78667604#2,7.540032,44.976323,376
-213893799#1,7.584411,45.075183,376
-213893799#1,7.58116,45.0766,376
78667604#2,7.535104,44.975806,376
-213893799#1,7.58333,45.075659,376
78667604#2,7.531412,44.9754,376
-472045807,7.737313,45.147834,375
35776294,7.741865,45.145349,375
35776294,7.740761,45.145644,375
