vehicle_edge,vehicle_longitude,vehicle_latitude,count
111760278#0,7.578147,45.072893,926
-26563623,7.68337,45.159345,912
-26563623,7.68232,45.159771,912
-26563623,7.677221,45.16206,912
-26563623,7.68127,45.160197,912
-26563623,7.678224,45.161588,912
-26563623,7.680221,45.160624,912
-26563623,7.673663,45.162466,912
-26563623,7.672477,45.162636,912
-26563623,7.676063,45.162259,912
-26563623,7.67486,45.162347,912
-26563623,7.679197,45.161079,912
-26563623,7.684425,45.158926,912
-497505369,7.542332,44.995446,910
-497505369,7.53737,44.995768,910
-497505369,7.534889,44.99594,910
-497505369,7.543573,44.995512,910
-497505369,7.53861,44.99568,910
-497505369,7.539849,44.995586,910
-497505369,7.53613,44.995854,910
-497505369,7.541088,44.995493,910
-497505369,7.544794,44.995685,910
450274964,7.587889,45.082241,884
450274964,7.58793,45.083053,884
450274964,7.587849,45.081429,884
450274964,7.587903,45.084675,884
450274964,7.58797,45.083865,884
450274964,7.587592,45.085455,884
15215737#0,7.689008,44.99158,875
15215737#0,7.690069,44.991178,875
15215737#0,7.687946,44.991982,875
15215737#0,7.691128,44.990772,875
15215737#0,7.686882,44.992381,875
385670504,7.625576,44.99616,864
385670504,7.626186,44.992326,864
385670504,7.625797,44.993068,864
385670504,7.62544,44.993821,864
385670504,7.625647,44.994609,864
385670504,7.625904,44.995392,864
-370608803,7.57289,45.106413,862
-370608803,7.575823,45.101473,862
-370608803,7.575338,45.102298,862
-370608803,7.572279,45.107194,862
-370608803,7.571515,45.107902,862
-370608803,7.573915,45.104781,862
-370608803,7.574369,45.103948,862
-370608803,7.574854,45.103123,862
-370608803,7.573423,45.105604,862
256067048,7.55739,45.08416,839
256067048,7.558174,45.084784,839
151910043,7.58471,45.089979,817
151910043,7.583273,45.091348,817
151910043,7.584108,45.090725,817
151910043,7.585663,45.088395,817
151910043,7.585186,45.089187,817
151910043,7.58067,45.093098,817
151910043,7.581344,45.092394,817
151910043,7.582297,45.091862,817
24204882,7.693374,44.989695,798
24204882,7.692464,44.990213,798
24204882,7.694256,44.989155,798
24204882,7.694891,44.988471,798
182840686#0,7.598857,45.105881,783
182840686#0,7.599773,45.105925,783
182840686#0,7.598042,45.105587,783
67239390#3,7.772171,45.140264,755
43159176,7.562626,45.088012,747
43159176,7.56194,45.087474,747
26200434,7.553153,45.081883,736
26200434,7.551969,45.081533,736
111801795#2,7.58779,45.052231,735
111801795#2,7.591278,45.052096,735
111801795#2,7.593603,45.052006,735
111801795#2,7.592441,45.052051,735
111801795#2,7.594766,45.051961,735
111801795#2,7.590115,45.052141,735
111801795#2,7.588953,45.052186,735
368686049,7.770023,45.139134,734
111760278#1,7.576722,45.072835,724
37981517,7.630005,44.994157,702
37981517,7.629849,44.992887,702
37981517,7.630537,44.993489,702
37981517,7.628915,44.994102,702
223603540#0,7.802667,45.168862,687
223603540#0,7.782246,45.158779,687
223603540#0,7.787349,45.161301,687
223603540#0,7.778192,45.156732,687
223603540#0,7.781232,45.158267,687
223603540#0,7.780219,45.157755,687
223603540#0,7.783261,45.159289,687
223603540#0,7.807761,45.171394,687
223603540#0,7.793482,45.164319,687
223603540#0,7.791438,45.163313,687
223603540#0,7.794505,45.164822,687
223603540#0,7.805723,45.170381,687
223603540#0,7.796549,45.165828,687
223603540#0,7.79246,45.163816,687
223603540#0,7.776165,45.155709,687
223603540#0,7.800632,45.167846,687
223603540#0,7.772112,45.153662,687
223603540#0,7.795527,45.165325,687
223603540#0,7.775152,45.155197,687
223603540#0,7.804705,45.169875,687
223603540#0,7.789394,45.162307,687
223603540#0,7.767996,45.151679,687
223603540#0,7.801649,45.168354,687
223603540#0,7.799615,45.167337,687
223603540#0,7.773125,45.154173,687
223603540#0,7.797572,45.16633,687
223603540#0,7.803686,45.169368,687
223603540#0,7.806742,45.170888,687
223603540#0,7.771095,45.153153,687
223603540#0,7.788371,45.161804,687
223603540#0,7.798594,45.166833,687
223603540#0,7.785305,45.160295,687
223603540#0,7.790416,45.16281,687
223603540#0,7.777178,45.15622,687
223603540#0,7.786327,45.160798,687
223603540#0,7.774138,45.154685,687
223603540#0,7.770079,45.152644,687
223603540#0,7.779205,45.157244,687
223603540#0,7.784283,45.159792,687
223603540#0,7.769045,45.152154,687
-124534868,7.634709,45.156067,680
-124534868,7.631822,45.15875,680
-124534868,7.631037,45.159387,680
-124534868,7.629432,45.160637,680
-124534868,7.630263,45.160033,680
37985919#5,7.698437,44.985995,680
37985919#5,7.694998,44.98934,680
-124534868,7.634082,45.156783,680
37985919#5,7.699525,44.982745,680
37985919#5,7.699075,44.984387,680
37985919#5,7.694034,44.989822,680
37985919#5,7.697335,44.987471,680
37985919#5,7.696645,44.988148,680
37985919#5,7.698807,44.985202,680
37985919#5,7.697924,44.986748,680
37985919#5,7.699309,44.983567,680
37985919#5,7.69587,44.988777,680
-124534868,7.632613,45.158115,680
-124534868,7.633392,45.157473,680
37110335,7.599428,45.104704,675
37110335,7.599763,45.105836,675
37110335,7.598268,45.104894,675
37110335,7.598539,45.105679,675
79941718#2,7.558763,45.072065,669
79941718#2,7.557777,45.072026,669
-239304403,7.566926,45.11047,631
-239304403,7.570461,45.108551,631
-239304403,7.569577,45.109031,631
-239304403,7.56781,45.10999,631
-239304403,7.568693,45.109511,631
497505369,7.544754,44.995767,628
497505369,7.545929,44.996047,628
497505369,7.541065,44.995581,628
497505369,7.542303,44.995533,628
497505369,7.53613,44.995941,628
497505369,7.534895,44.996026,628
497505369,7.543539,44.995595,628
497505369,7.538599,44.995767,628
497505369,7.539832,44.995674,628
497505369,7.537364,44.995855,628
79941718#0,7.561835,45.072196,610
79941718#0,7.562917,45.072243,610
43159177,7.562448,45.088156,607
43159177,7.563153,45.088698,607
39832525#0,7.582269,45.052293,603
39832525#0,7.579797,45.052389,603
39832525#0,7.577324,45.052486,603
39832525#0,7.578561,45.052438,603
39832525#0,7.584742,45.052196,603
39832525#0,7.583506,45.052244,603
39832525#0,7.581033,45.052341,603
37983094,7.691957,44.970781,599
37983094,7.690664,44.970668,599
37983094,7.694537,44.971042,599
43273611#5,7.633263,44.989435,599
43273611#5,7.632347,44.990065,599
43273611#5,7.630541,44.991345,599
37983094,7.693247,44.970912,599
37983094,7.695827,44.97117,599
43273611#5,7.634178,44.988804,599
43273611#5,7.631431,44.990695,599
38318788,7.748435,45.141712,597
38318788,7.753488,45.14402,597
38318788,7.754479,45.144501,597
38318788,7.750457,45.142634,597
38318788,7.755473,45.144981,597
38318788,7.749446,45.142173,597
38318788,7.752479,45.143557,597
38318788,7.751468,45.143095,597
22922411,7.699337,44.972053,584
22922411,7.698455,44.971553,584
22922411,7.700034,44.972688,584
22922411,7.700967,44.975662,584
22922411,7.700712,44.973336,584
22922411,7.701147,44.974866,584
22922411,7.701158,44.974069,584
70258888,7.578387,45.100165,581
70258888,7.580064,45.099377,581
70258888,7.577321,45.100174,581
70258888,7.579112,45.099628,581
-134543552#3,7.705198,44.991372,575
-134543552#3,7.704817,44.990482,575
37983083#0,7.641724,44.983889,558
37983083#0,7.638898,44.985725,558
37983083#0,7.642671,44.983281,558
37983083#0,7.63984,44.985113,558
37983083#0,7.640782,44.984501,558
37983083#0,7.637956,44.986337,558
-23721624#1,7.596531,45.109367,556
-23721624#1,7.598301,45.110231,556
-23721624#1,7.597406,45.109809,556
-23721624#1,7.599198,45.110651,556
38321073,7.554499,45.082401,555
515166948#2,7.596683,45.103724,549
515166948#2,7.598818,45.104318,549
515166948#2,7.59775,45.104021,549
515166948#2,7.599885,45.104616,549
79941699,7.572691,45.072658,541
79941699,7.571781,45.072618,541
79941718#1,7.559846,45.072112,535
536720409#2,7.618042,44.984239,535
79941718#1,7.560747,45.07215,535
536720409#2,7.615936,44.982302,535
536720409#2,7.615234,44.981656,535
536720409#2,7.616638,44.982948,535
536720409#2,7.61734,44.983594,535
30250811#2,7.671479,44.979587,531
594646043#1,7.615574,44.982217,529
594646043#1,7.617824,44.984291,529
594646043#1,7.616324,44.982909,529
594646043#1,7.617074,44.9836,529
594646043#1,7.618574,44.984982,529
594646043#1,7.614825,44.981526,529
594646043#1,7.614075,44.980835,529
15215737#3,7.700251,44.978743,526
15215737#3,7.699993,44.979714,526
15215737#3,7.700508,44.977773,526
15215737#3,7.699731,44.980684,526
43273611#4,7.626168,44.995443,524
43273611#4,7.625618,44.996174,524
43273611#4,7.628044,44.993344,524
43273611#4,7.626756,44.994726,524
43273611#4,7.628779,44.9927,524
43273611#4,7.627372,44.994022,524
43273611#4,7.629545,44.992074,524
515166947#0,7.57929,45.099137,523
515166947#0,7.580077,45.099342,523
-81833989,7.577234,45.0779,522
-81833989,7.575716,45.079096,522
-81833989,7.576441,45.078472,522
-81833989,7.579315,45.077242,522
-81833989,7.574991,45.07972,522
-81833989,7.57827,45.077565,522
67239390#2,7.773289,45.140905,521
452950770#1,7.708676,44.970153,510
452950770#1,7.715356,44.969164,510
452950770#1,7.717581,44.968829,510
452950770#1,7.710903,44.969825,510
452950770#1,7.71313,44.969498,510
452950770#1,7.714243,44.969331,510
452950770#1,7.712017,44.969661,510
452950770#1,7.719806,44.968495,510
452950770#1,7.718694,44.968662,510
452950770#1,7.716469,44.968997,510
452950770#1,7.709789,44.969989,510
-39604703#0,7.615699,44.975154,507
-39604703#0,7.6148,44.97679,507
-39604703#0,7.615252,44.975972,507
-39604703#0,7.613891,44.978423,507
-39604703#0,7.614346,44.977606,507
424270452,7.582266,45.07307,507
83524143#0,7.598945,44.995898,496
83524143#0,7.600183,44.995767,496
83524143#0,7.60142,44.995636,496
536720410,7.620899,44.986853,496
536720410,7.620063,44.986095,496
536720410,7.621735,44.987612,496
83524143#0,7.602654,44.995558,496
-37981515,7.62729,44.992688,493
39260434#2,7.544831,45.056619,493
-37981515,7.626644,44.992104,493
-37981515,7.625998,44.991519,493
79941734#5,7.565497,45.072352,487
79941734#5,7.564501,45.072309,487
-124745797#0,7.749338,45.050704,485
-124745797#0,7.753583,45.049314,485
-124745797#0,7.75087,45.049551,485
-124745797#0,7.75008,45.050089,485
-124745797#0,7.751224,45.04868,485
-124745797#0,7.752394,45.049,485
213893799#1,7.584432,45.075207,477
213893799#1,7.582266,45.076154,477
213893799#1,7.583351,45.075683,477
79941734#1,7.569945,45.072539,474
37983081#4,7.641789,44.984129,471
37983081#4,7.644548,44.9824,471
37983081#4,7.648254,44.980117,471
37983081#4,7.649185,44.979549,471
37983081#4,7.643622,44.982971,471
37983081#4,7.645474,44.981828,471
37983081#4,7.653036,44.977394,471
37983081#4,7.654063,44.976918,471
37983081#4,7.642696,44.983542,471
37983081#4,7.647327,44.980687,471
37983081#4,7.646399,44.981257,471
37983081#4,7.655092,44.976444,471
37983081#4,7.639071,44.98589,471
37983081#4,7.65106,44.978426,471
37983081#4,7.639977,44.985303,471
37983081#4,7.640883,44.984716,471
37983081#4,7.652045,44.977907,471
37983081#4,7.650122,44.978988,471
38321071,7.553271,45.081692,462
37992354#0,7.701384,44.986056,456
37992354#0,7.700605,44.985623,456
37992352,7.697245,44.985442,451
37992352,7.697979,44.984901,451
37992352,7.69879,44.98351,451
37992352,7.698445,44.984226,451
45061254,7.73613,45.14597,448
45061254,7.736767,45.146687,448
81187709#0,7.666205,44.994269,448
81187709#0,7.666148,44.995123,448
45061254,7.737623,45.146902,448
67239390#4,7.770947,45.139582,444
23367047,7.73671,45.148819,442
515166945,7.585632,45.100618,438
515166945,7.586474,45.100859,438
38237305#1,7.596111,45.107718,436
38237305#1,7.597096,45.107062,436
37928261#1,7.553487,44.981546,432
37928261#1,7.553982,44.982318,432
37928261#1,7.554905,44.983885,432
37928261#1,7.554444,44.983102,432
37928261#1,7.552963,44.980792,432
151910039,7.586992,45.086154,427
151910039,7.587685,45.082248,427
151910039,7.587712,45.083047,427
151910039,7.58774,45.083845,427
151910039,7.587398,45.085409,427
151910039,7.587695,45.084642,427
151910039,7.587657,45.08145,427
47515047,7.576684,45.098414,423
47515047,7.575645,45.09859,423
47515047,7.576582,45.099583,423
47515047,7.575592,45.099337,423
133627094#3,7.759087,45.140064,421
133627094#3,7.758413,45.14066,421
38318591#5,7.751104,45.155836,417
38318591#5,7.750561,45.155048,417
38318591#5,7.751648,45.156624,417
38318591#5,7.750026,45.154257,417
38318591#5,7.749491,45.153467,417
38318591#5,7.752191,45.157411,417
515167782,7.575202,45.09746,416
515167782,7.574571,45.097147,416
37928264#2,7.567049,44.995495,414
